IDtrajet,Ville de Départ,Ville d'arrivée,A partir du,Jusqu'au,Départ_Latitude,Départ_Longitude,Arrivé_Latitude,Arrivé_Longitude
736044,Bessines-sur-gartempe (FR87),Bourges (FR18),15/03/2024 à 12:00,15/03/2024 à 16:15,46.1090993,1.3685926,47.0811658,2.399125
736480,Liège (BE40),Braine-le-château (BE14),14/03/2024 à 13:00,14/03/2024 à 17:00,,,50.6827864,4.2669864
736468,Tavaux (FR39),Brebières (FR62),18/03/2024 à 14:00 Rdv 14:00-16:00,19/03/2024 à 18:00 Rdv 17:00-18:00,47.0371,5.40338,50.3372093,3.0224298
735842,Saint-brieuc (FR22),Brech (FR56),20/03/2024 à 17:00,21/03/2024 à 17:00,48.5141134,-2.7603283,47.721585,-2.9969193
734481,Villeneuve-d\'ascq (FR59),Bussy-lettrée (FR51),13/03/2024 à 10:30,13/03/2024 à 16:00 Rdv 14:00-16:00,50.6193174,3.1314002,48.80464,4.25947
733754,Buchelay (FR78),Carros (FR06),19/03/2024 à 10:00 Rdv 10:00-15:00,20/03/2024 à 12:00 Rdv 15:00-17:00,,,43.7846,7.18785
736122,Montpellier (FR34),Castelnau-d'estrétefonds (FR31),18/03/2024 à 11:30 Rdv 11:30-13:30,18/03/2024 à 16:00,43.6112422,3.8767337,43.78251,1.3590892
734318,Limoges (FR87),Castelnau-d'estrétefonds (FR31),18/03/2024 à 11:00 Rdv 11:00-13:00,18/03/2024 à 16:00,45.8354243,1.2644847,43.78251,1.3590892
735719,Lavardac (FR47),Castelnau-d\'estrétefonds (FR31),18/03/2024 à 09:00 Rdv 9:00-11:00,18/03/2024 à 16:00,44.1787867,0.297633,43.78251,1.3590892
734961,Tarbes (FR65),Castelnau-d\'estrétefonds (FR31),20/03/2024 à 12:00 Rdv 12:00-14:00,20/03/2024 à 16:00,43.232858,781021.0,43.78251,1.3590892
735814,Villemur-sur-tarn (FR31),Castelnau-d\'estrétefonds (FR31),15/03/2024 à 12:30 Rdv 12:30-14:30,15/03/2024 à 16:00,43.8650448,1.5039825,43.78251,1.3590892
736218,Miramas (FR13),Chambaron sur morge (FR63),15/03/2024 à 09:00,15/03/2024 à 17:00 Rdv 15:00-17:00,43.582733,5.0025809,45.9566189,3.1453968751576475
732040,Hasselt (BE35),Charleroi (BE60),25/03/2024 à 08:30,25/03/2024 à 10:30,50.9303735,5.3378043,50.4116233,4.444528
729580,Saint-barthelemy-d'anjou (FR49),Cholet (FR49),14/03/2024 à 12:01,14/03/2024 à 16:00,47.4683081,-0.4932941,47.0617293,-0.8801359
735495,Neuvy (FR41),Clamecy (FR58),19/03/2024 à 11:00,19/03/2024 à 17:00 Rdv 15:00-17:00,48.7469304,3.5177618,49.4286111,3.3619444
736238,Marseille (FR13),Corbas (FR69),18/03/2024 à 14:00 Rdv 14:00-16:00,18/03/2024 à 16:00,43.2961743,5.3699525,45.6662663,4.9015205
736309,Algete (ES28),Cullera (ES46),15/03/2024 à 09:00,15/03/2024 à 16:00 Rdv 14:00-16:00,0.0,0.0,39.1647217,-0.2542313
735728,Marckolsheim (FR67),Dijon (FR21),19/03/2024 à 08:30,19/03/2024 à 16:00 Rdv 14:00-16:00,48.165441,7.5444161,47.3215806,5.0414701
736412,Montélimar (FR26),Donzère (FR26),14/03/2024 à 15:30,15/03/2024 à 15:30,44.5579391,4.750318,44.4442014,4.7073439
736340,Montélimar (FR26),Donzère (FR26),12/03/2024 à 11:15,14/03/2024 à 14:45,44.5579391,4.750318,44.4442014,4.7073439
731272,Bourges (FR18),Déols (FR36),12/03/2024 à 08:00,12/03/2024 à 17:00,47.0811658,2.399125,46.8267767,1.7010433
735454,Bassens (FR33),Essarts-en-bocage (FR85),25/03/2024 à 13:00,25/03/2024 à 16:30,44.9015003,-0.5163222,46.78605775,-1.2528102863462225
734222,Laval (FR53),Fleury-mérogis (FR91),21/03/2024 à 12:00 Rdv 12:00-14:00,21/03/2024 à 16:00,48.0706687,-0.7734022,48.629965,2.3609313
734262,Laval (FR53),Fleury-mérogis (FR91),19/03/2024 à 11:00 Rdv 11:00-13:00,19/03/2024 à 16:00,48.0706687,-0.7734022,48.629965,2.3609313
734081,Rouen (FR76),Fleury-mérogis (FR91),20/03/2024 à 11:00 Rdv 11:00-13:00,20/03/2024 à 16:00,49.4404591,1.0939658,48.629965,2.3609313
734075,Lille (FR59),Fleury-mérogis (FR91),14/03/2024 à 14:00 Rdv 14:00-16:00,15/03/2024 à 12:00,50.6365654,3.0635282,48.629965,2.3609313
734215,Quimper (FR29),Fleury-mérogis (FR91),20/03/2024 à 14:00 Rdv 14:00-16:00,21/03/2024 à 12:00,47.9960325,-4.1024782,48.629965,2.3609313
734368,Quimper (FR29),Fleury-mérogis (FR91),20/03/2024 à 14:00 Rdv 14:00-16:00,21/03/2024 à 12:00,47.9960325,-4.1024782,48.629965,2.3609313
734200,Rouen (FR76),Fleury-mérogis (FR91),20/03/2024 à 11:00 Rdv 11:00-13:00,20/03/2024 à 16:00,49.4404591,1.0939658,48.629965,2.3609313
734243,Rouen (FR76),Fleury-mérogis (FR91),20/03/2024 à 11:00 Rdv 11:00-13:00,20/03/2024 à 16:00,49.4404591,1.0939658,48.629965,2.3609313
734079,Rouen (FR76),Fleury-mérogis (FR91),20/03/2024 à 11:00 Rdv 11:00-13:00,20/03/2024 à 16:00,49.4404591,1.0939658,48.629965,2.3609313
734198,Rouen (FR76),Fleury-mérogis (FR91),20/03/2024 à 11:00 Rdv 11:00-13:00,20/03/2024 à 16:00,49.4404591,1.0939658,48.629965,2.3609313
734141,Rouen (FR76),Fleury-mérogis (FR91),20/03/2024 à 11:00 Rdv 11:00-13:00,20/03/2024 à 16:00,49.4404591,1.0939658,48.629965,2.3609313
735402,Ungersheim (FR68),Forbach (FR57),20/03/2024 à 09:00 Rdv 9:00-11:00,20/03/2024 à 16:00,47.877868,7.304028,49.1862822,6.8958562
735477,Pierre de bresse (FR71),Forbach (FR57),14/03/2024 à 09:30 Rdv 9:30-11:00,14/03/2024 à 14:55,46.8829007,5.2608283,49.1862822,6.8958562
736426,Niort (FR79),Fouras (FR17),18/03/2024 à 09:00 Rdv 9:00-10:00,18/03/2024 à 12:30 Rdv 11:30-12:30,46.3239233,-0.4646064,45.9883689,-1.0935837
736454,Wavrin (FR59),Frelinghien (FR59),20/03/2024 à 08:30,20/03/2024 à 12:30 Rdv 10:30-12:30,50.570559,2.932545,,
735597,Geel (BE24),Geel (BE24),15/03/2024 à 11:00,15/03/2024 à 14:00 Rdv 13:00-14:00,51.1610826,4.9903187,51.1610826,4.9903187
735598,Geel (BE24),Geel (BE24),15/03/2024 à 13:00 Rdv 13:00-14:00,15/03/2024 à 15:15,51.1610826,4.9903187,51.1610826,4.9903187
736477,Douai (FR59),Gennevilliers (FR92),15/03/2024 à 08:00,15/03/2024 à 12:30 Rdv 10:30-12:30,50.3675677,3.0804641,48.9254221,2.2940122
736055,Tournai (BE75),Gent (BE90),18/03/2024 à 09:00,18/03/2024 à 17:00,50.6056458,3.3878179,51.0538286,3.7250121
734267,Ambérieu-en-bugey (FR01),Grenoble (FR38),26/03/2024 à 08:30,26/03/2024 à 12:00 Rdv 10:00-12:00,45.9584309,5.3595099,45.1875602,5.7357819
736187,Machelen (BE18),Heist-op-den-berg (BE22),18/03/2024 à 08:00,18/03/2024 à 13:00 Rdv 11:00-13:00,50.903150350789616,4.449248232844452,51.07913920390559,4.70224973042388
736326,Taverny (FR95),Heudreville-sur-eure (FR27),15/03/2024 à 09:00 Rdv 9:00-11:00,15/03/2024 à 13:00 Rdv 11:00-13:00,49.0265888,2.2234971,49.1403957,1.1874548
735927,Roeselare (BE88),Izegem (BE88),14/03/2024 à 09:00,14/03/2024 à 17:00,50.9444948,3.124765,50.9137743,3.209106585214543
735767,Asse (BE17),Kruibeke (BE91),25/03/2024 à 10:00,25/03/2024 à 15:00,50.9094333,4.2015646,51.17625475,4.298036873275151
736258,Orvault (FR44),L\'herbergement (FR85),18/03/2024 à 10:00 Rdv 10:00-11:00,18/03/2024 à 14:00,-1.6194319725,47.2511912196,0.0,0.0
728942,Chartres-de-bretagne (FR35),La chapelle-sur-erdre (FR44),18/03/2024 à 08:00,18/03/2024 à 10:00 Rdv 9:00-10:00,48.0432406,-1.7082369,47.2996846,-1.5518632
736420,Montoir-de-bretagne (FR44),La plaine-sur-mer (FR44),20/03/2024 à 08:00,20/03/2024 à 13:00,47.3285909,-2.1543171,,
735779,Marseille (FR13),La roche-de-glun (FR26),20/03/2024 à 11:00 Rdv 11:00-13:00,20/03/2024 à 16:00,43.2961743,5.3699525,45.0133527,4.8443331
731524,Villeneuve-loubet (FR06),La roche-de-glun (FR26),13/03/2024 à 15:00 Rdv 15:00-17:00,14/03/2024 à 10:00,43.6579947,7.1217592,45.0133527,4.8443331
732558,Aix-en-provence (FR13),La roche-de-glun (FR26),18/03/2024 à 12:00 Rdv 12:00-14:00,18/03/2024 à 16:00,43.5298424,5.4474738,45.0133527,4.8443331
735664,Niort (FR79),La roche-sur-yon (FR85),18/03/2024 à 08:30 Rdv 8:30-9:30,18/03/2024 à 12:00 Rdv 11:00-12:00,46.3239233,-0.4646064,46.6705431,-1.4269698
735517,Tarnos (FR40),Labenne (FR40),15/03/2024 à 09:00,15/03/2024 à 12:00 Rdv 10:00-12:00,43.5405622,-1.4611915,43.5977,-1.42811
734874,Toulouse (FR31),Laguiole (FR12),22/03/2024 à 09:00,22/03/2024 à 15:00 Rdv 14:00-15:00,43.6044622,1.4442469,44.6839098,2.8468743
735237,Aubagne (FR13),Lançon-provence (FR13),15/03/2024 à 09:00,15/03/2024 à 10:30,43.2924385,5.5703031,43.5913062,5.1258628
734221,Valenton (FR94),Laval (FR53),21/03/2024 à 08:30,21/03/2024 à 14:00 Rdv 12:00-14:00,48.7443189,2.4699741,48.0706687,-0.7734022
734260,Wavrin (FR59),Laval (FR53),18/03/2024 à 10:00 Rdv 10:00-15:00,19/03/2024 à 13:00 Rdv 11:00-13:00,50.570559,2.932545,48.0706687,-0.7734022
736180,Malansac (FR56),Le cellier (FR44),29/03/2024 à 09:00,29/03/2024 à 11:30,47.6772003174,-2.2974998951,47.3186735,-1.3465357
735785,Rennes (FR35),Le cellier (FR44),14/03/2024 à 11:00 Rdv 11:00-13:00,14/03/2024 à 16:00,48.1113387,-1.6800198,47.3186735,-1.3465357
736448,Tours (FR37),Le cellier (FR44),20/03/2024 à 12:00 Rdv 12:00-14:00,20/03/2024 à 16:30,,,47.3186735,-1.3465357
728943,La chapelle-sur-erdre (FR44),Le cellier (FR44),18/03/2024 à 09:00 Rdv 9:00-10:00,18/03/2024 à 16:00,47.2996846,-1.5518632,47.3186735,-1.3465357
736220,Le rheu (FR35),Le cellier (FR44),18/03/2024 à 10:00 Rdv 10:00-12:00,18/03/2024 à 16:00,48.101097,-1.795384,47.3186735,-1.3465357
736449,Mende (FR48),Le controis-en-sologne (FR41),18/03/2024 à 10:00,18/03/2024 à 18:00,44.5180226,3.4991057,47.4334729,1.3497811449782977
736103,Ambarès-et-lagrave (FR33),Le passage (FR47),14/03/2024 à 09:00,14/03/2024 à 12:30 Rdv 10:30-12:30,44.9259011,-0.4881846,45.5326,5.51253
736282,Chartres-de-bretagne (FR35),Le rheu (FR35),15/03/2024 à 08:30,15/03/2024 à 12:00 Rdv 10:00-12:00,48.0432406,-1.7082369,48.101097,-1.795384
736219,Chartres-de-bretagne (FR35),Le rheu (FR35),18/03/2024 à 08:30,18/03/2024 à 12:00 Rdv 10:00-12:00,48.0432406,-1.7082369,48.101097,-1.795384
736278,Loeches (ES28),Lerín (ES31),18/03/2024 à 09:00,18/03/2024 à 15:00 Rdv 13:00-15:00,40.3837901,-3.4092281,42.4827069,-1.9727192
730524,La chapelle-des-fougeretz (FR35),Les andelys (FR27),18/03/2024 à 09:00,18/03/2024 à 13:30,48.178066,-1.7341163,49.2469193,1.4215534
736446,Locquignol (FR59),Lieu-saint-amand (FR59),25/03/2024 à 12:00 Rdv 12:00-14:00,25/03/2024 à 16:00,,,50.2729141,3.3461187
734074,Wavrin (FR59),Lille (FR59),14/03/2024 à 08:30,14/03/2024 à 16:00 Rdv 14:00-16:00,50.570559,2.932545,50.6365654,3.0635282
734317,Castelnau-d'estrétefonds (FR31),Limoges (FR87),18/03/2024 à 08:30,18/03/2024 à 13:00 Rdv 11:00-13:00,43.78251,1.3590892,45.8354243,1.2644847
735174,Tarnos (FR40),Lizos (FR65),15/03/2024 à 08:00,15/03/2024 à 10:00,43.5405622,-1.4611915,43.2626971,0.1446687
736445,Wavrin (FR59),Locquignol (FR59),25/03/2024 à 08:30,25/03/2024 à 14:00 Rdv 12:00-14:00,50.570559,2.932545,,
736274,Arc-et-senans (FR25),Lormont (FR33),20/03/2024 à 12:00,21/03/2024 à 12:00,5.77872991562,47.0317001343,-0.5182007,44.876407
736443,Ayamonte (ES21),"Luisiana, la (ES41)",15/03/2024 à 10:00 Rdv 10:00-12:00,15/03/2024 à 17:30,37.215797,-7.4060169,303891.0,-9383689.0
736236,Esneux (BE41),Machelen (BE18),20/03/2024 à 08:00,20/03/2024 à 15:00 Rdv 9:45-15:00,0.0,0.0,50.903150350789616,4.449248232844452
736335,Heist-op-den-berg (BE22),Machelen (BE18),18/03/2024 à 09:00,18/03/2024 à 15:00 Rdv 10:00-15:00,51.07913920390559,4.70224973042388,50.903150350789616,4.449248232844452
736470,Tienen (BE33),Machelen (BE18),27/03/2024 à 14:00,27/03/2024 à 16:00 Rdv 15:00-16:00,50.6509998,2.4660832,50.903150350789616,4.449248232844452
736339,Boortmeerbeek (BE31),Machelen (BE18),18/03/2024 à 08:00,18/03/2024 à 15:00 Rdv 8:45-15:00,50.978285850000006,4.575800524999997,50.903150350789616,4.449248232844452
736246,Sint-pieters-leeuw (BE16),Machelen (BE18),21/03/2024 à 09:00,21/03/2024 à 15:00 Rdv 9:45-15:00,0.0,0.0,50.903150350789616,4.449248232844452
736188,Heist-op-den-berg (BE22),Machelen (BE18),18/03/2024 à 11:00 Rdv 11:00-13:00,18/03/2024 à 15:30,51.07913920390559,4.70224973042388,50.903150350789616,4.449248232844452
736304,Santa perpètua de mogoda (ES08),Madrid (ES28),15/03/2024 à 09:00,15/03/2024 à 18:00 Rdv 16:00-18:00,41.5328106,2.1823309,40.4167047,-3.7035825
736289,Quincampoix (FR76),Maromme (FR76),12/03/2024 à 10:45,15/03/2024 à 15:00,49.521,1.17464,49.476737,1.0308208
736478,Lambres-lez-douai (FR59),Marquise (FR62),20/03/2024 à 08:15,20/03/2024 à 15:00,,,,
735595,La farlede (FR83),Marseille (FR13),28/03/2024 à 08:30,28/03/2024 à 10:00,43.1597,6.04317,43.2961743,5.3699525
735778,Miramas (FR13),Marseille (FR13),20/03/2024 à 08:30,20/03/2024 à 13:00 Rdv 11:00-13:00,43.582733,5.0025809,43.2961743,5.3699525
735192,Saint-ail (FR54),Maxéville (FR54),22/03/2024 à 08:15,22/03/2024 à 12:00,49.1808501,5.9960901,48.7119046,6.1641314
736216,Machelen (BE18),Mechelen (BE28),19/03/2024 à 08:00,19/03/2024 à 15:00 Rdv 8:45-15:00,50.903150350789616,4.449248232844452,51.0281381,4.4803453
736362,Salon de provence (FR13),Meyreuil (FR13),08/04/2024 à 09:00,08/04/2024 à 15:00,43.6405237,5.0980225,43.4867359,5.4952155
736416,Montelimar (FR26),Meyreuil (FR13),19/03/2024 à 09:00,19/03/2024 à 15:30,44.5579391,4.750318,43.4867359,5.4952155
731389,Paris (FR75),Mitry-mory (FR77),21/03/2024 à 14:00 Rdv 14:00-16:00,22/03/2024 à 12:00,48.8534951,2.3483915,48.9839674,2.6183971
736286,Seseña (ES45),Mojácar (ES04),21/03/2024 à 11:45 Rdv 11:45-13:45,21/03/2024 à 19:00 Rdv 17:00-19:00,40.1048269,-3.6963093,37.1402087,-1.8510071
735400,La bruffiere (FR85),Montauban-de-bretagne (FR35),20/03/2024 à 10:00 Rdv 10:00-12:00,20/03/2024 à 16:00,47.02245800712956,-1.191194223581551,48.1998838,-2.0462319
