IDtrajet,Tags,Ville de Départ,Ville d'arrivée,A partir du,Jusqu'au,Client,Véhicule,Distance / Durée,Devis,Prix,Actions,Départ_Pays,Départ_Latitude,Départ_Longitude,Arrivé_Pays,Arrivé_Latitude,Arrivé_Longitude
734361,aller,Ambérieu-en-bugey (FR01),Besançon (FR25),19/03/2024 à 08:30,19/03/2024 à 13:00 Rdv 11:00-13:00,ARVAL RESTITUTION,BerlineThermique,209 km02h15,6+,~ 51€ PRESTATION,Accéder,FR38),45.9584309,5.3595099,,47.2380222,6.0243622
734357,aller,Ambérieu-en-bugey (FR01),Besançon (FR25),21/03/2024 à 08:30,21/03/2024 à 12:00 Rdv 10:00-12:00,ARVAL RESTITUTION,BerlineThermique,209 km02h15,6+,~ 51€ PRESTATION,Accéder,FR38),45.9584309,5.3595099,,47.2380222,6.0243622
734351,aller,Villevêque (FR49),Nantes (FR44),20/03/2024 à 08:30,20/03/2024 à 12:00 Rdv 10:00-12:00,ARVAL RESTITUTION,BerlineThermique,106 km01h15,03-mai,~ 41€ PRESTATION,Accéder,BE43),47.5601026,-0.4230772,,47.2186371,-1.5541362
734347,aller,Avrigny (FR60),Paris (FR75),12/03/2024 à 10:00,12/03/2024 à 17:00 Rdv 15:00-17:00,ARVAL RESTITUTION,BerlineThermique,90 km01h30,6+,~ 39€ PRESTATION,Accéder,FR06),49.3817833,2.57932,,48.8534951,2.3483915
734336,aller,Miramas (FR13),Auzeville-tolosane (FR31),13/03/2024 à 09:00,13/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,CitadineThermique,348 km03h30,6+,~ 65€ PRESTATION,Accéder,BE17),43.582733,5.0025809,,43.5292199,1.4829226
734328,aller,Forbach (FR57),Mundolsheim (FR67),12/03/2024 à 12:00,12/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,SuvHybride,120 km01h30,0-2,~ 42€ PRESTATION,Accéder,BE71),49.1862822,6.8958562,,48.6416216,7.7150066
734326,aller,Forbach (FR57),Paris (FR75),12/03/2024 à 09:00,12/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,BreakThermique,386 km04h00,03-mai,~ 69€ PRESTATION,Accéder,FR94),49.1862822,6.8958562,,48.8534951,2.3483915
734323,aller,Valenton (FR94),Paris (FR75),13/03/2024 à 08:30,13/03/2024 à 12:00 Rdv 10:00-12:00,ARVAL RESTITUTION,CitadineThermique,21 km00h45,6+,~ 25€ PRESTATION,Accéder,BE32),48.7443189,2.4699741,,48.8534951,2.3483915
734321,aller,Ambérieu-en-bugey (FR01),Lyon (FR69),13/03/2024 à 08:30,13/03/2024 à 13:00 Rdv 11:00-13:00,ARVAL RESTITUTION,SuvThermique,58 km01h00,6+,~ 33€ PRESTATION,Accéder,FR67),45.9584309,5.3595099,,45.7578137,4.8320114
734311,aller,Villevêque (FR49),Poitiers (FR86),15/03/2024 à 10:00,15/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,BerlineThermique,202 km02h15,03-mai,~ 51€ PRESTATION,Accéder,FR83),47.5601026,-0.4230772,,46.5802596,0.340196
734303,aller,Miramas (FR13),Saint-raphaël (FR83),12/03/2024 à 10:00,12/03/2024 à 17:00 Rdv 15:00-17:00,ARVAL RESTITUTION,BerlineThermique,165 km02h00,6+,~ 47€ PRESTATION,Accéder,BE85),43.582733,5.0025809,,45.3043079,1.0747165
734301,aller,Forbach (FR57),Offendorf (FR67),12/03/2024 à 09:00,12/03/2024 à 12:00 Rdv 10:00-12:00,ARVAL RESTITUTION,CitadineThermique,132 km01h30,0-2,~ 44€ PRESTATION,Accéder,FR60),49.1862822,6.8958562,,48.7118236,7.9123631
734297,aller,Castelnau-d'estrétefonds (FR31),Bordeaux (FR33),19/03/2024 à 10:00,19/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,CitadineThermique,227 km02h15,6+,~ 53€ PRESTATION,Accéder,FR88),43.78251,1.3590892,,44.841225,-0.5800364
734294,aller,Castelnau-d'estrétefonds (FR31),Limoges (FR87),13/03/2024 à 10:00,13/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,CitadineThermique,267 km02h45,6+,~ 57€ PRESTATION,Accéder,FR60),43.78251,1.3590892,,45.8354243,1.2644847
734283,aller,Ambérieu-en-bugey (FR01),Belfort (FR90),13/03/2024 à 10:00,13/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,BerlineThermique,294 km03h00,03-mai,~ 60€ PRESTATION,Accéder,FR54),45.9584309,5.3595099,,47.6379599,6.8628942
734281,aller,Ambérieu-en-bugey (FR01),Belfort (FR90),29/03/2024 à 10:00,29/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,BerlineThermique,294 km03h00,6+,~ 60€ PRESTATION,Accéder,FR54),45.9584309,5.3595099,,47.6379599,6.8628942
734265,aller,Castelnau-d'estrétefonds (FR31),Bayonne (FR64),12/03/2024 à 10:00 Rdv 10:00-15:00,13/03/2024 à 11:00 Rdv 9:00-11:00,ARVAL RESTITUTION,BerlineThermique,318 km03h00,6+,~ 62€ PRESTATION,Accéder,FR54),43.78251,1.3590892,,43.4945144,-1.4736657
734249,aller,Valenton (FR94),Nantes (FR44),19/03/2024 à 10:00 Rdv 10:00-15:00,20/03/2024 à 11:00 Rdv 9:00-11:00,ARVAL RESTITUTION,BerlineThermique,386 km03h45,6+,~ 69€ PRESTATION,Accéder,ES41),48.7443189,2.4699741,,47.2186371,-1.5541362
734244,aller,Valenton (FR94),Cherbourg (FR50),12/03/2024 à 09:00,12/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,BerlineThermique,379 km04h00,03-mai,~ 68€ PRESTATION,Accéder,FR62),48.7443189,2.4699741,,49.6425343,-1.6249565
734237,aller,Villevêque (FR49),Nantes (FR44),20/03/2024 à 08:30,20/03/2024 à 12:00 Rdv 10:00-12:00,ARVAL RESTITUTION,BerlineThermique,106 km01h15,03-mai,~ 41€ PRESTATION,Accéder,FR59),47.5601026,-0.4230772,,47.2186371,-1.5541362
734232,aller,Villevêque (FR49),Caen (FR14),18/03/2024 à 08:30,18/03/2024 à 13:00 Rdv 11:00-13:00,ARVAL RESTITUTION,BerlineThermique,236 km02h30,03-mai,~ 54€ PRESTATION,Accéder,FR62),47.5601026,-0.4230772,,49.1813403,-0.3635615
734230,aller,Forbach (FR57),Strasbourg (FR67),13/03/2024 à 09:00,13/03/2024 à 12:00 Rdv 10:00-12:00,ARVAL RESTITUTION,12m3Thermique,124 km01h30,03-mai,~ 43€ PRESTATION,Accéder,FR44),49.1862822,6.8958562,,48.584614,7.7507127
734227,aller,Forbach (FR57),Metz (FR57),12/03/2024 à 10:00,12/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,12m3Thermique,60 km00h45,0-2,~ 34€ PRESTATION,Accéder,FR71),49.1862822,6.8958562,,49.1196964,6.1763552
734223,aller,Forbach (FR57),Nancy (FR54),19/03/2024 à 10:00,19/03/2024 à 17:00 Rdv 15:00-17:00,ARVAL RESTITUTION,12m3Thermique,112 km01h30,0-2,~ 42€ PRESTATION,Accéder,FR59),49.1862822,6.8958562,,48.6937223,6.1834097
734216,aller,Valenton (FR94),Caen (FR14),19/03/2024 à 08:30,19/03/2024 à 13:00 Rdv 11:00-13:00,ARVAL RESTITUTION,12m3Thermique,257 km02h45,6+,~ 56€ PRESTATION,Accéder,BE20),48.7443189,2.4699741,,49.1813403,-0.3635615
734205,aller,Ambérieu-en-bugey (FR01),Besançon (FR25),20/03/2024 à 10:00,20/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,12m3Thermique,209 km02h15,6+,~ 51€ PRESTATION,Accéder,BE10),45.9584309,5.3595099,,47.2380222,6.0243622
